,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
216,rio brilhante,100,GR,1633829232,81,38.3,21.7833,66.78,8.14
217,bani walid,3,DO,1633829232,81,18.2833,-70.3333,82.85,5.68
218,hobyo,22,SO,1633829233,85,5.3505,48.5268,78.28,11.7
219,fulton,1,US,1633829233,88,33.7668,-84.4499,72.5,0.0
220,arys,3,KZ,1633829234,34,42.4252,68.795,46.62,10.63
221,maceio,75,BR,1633829102,94,-9.6658,-35.7353,76.44,3.44
222,avera,0,US,1633829234,86,33.194,-82.5271,70.72,6.55
223,jacareacanga,0,BR,1633829235,72,-6.2222,-57.7528,78.53,1.39
224,hualmay,79,PE,1633829123,88,-11.0964,-77.6139,62.98,11.23
225,saskylakh,100,RU,1633829087,95,71.9167,114.0833,19.13,2.33
226,simao,98,CN,1633829236,80,22.7886,100.9748,68.25,2.93
227,kawalu,87,ID,1633829236,82,-7.3817,108.2082,77.02,3.4
228,meadow lake,100,US,1633829237,89,45.5291,-102.2163,53.29,15.86
229,panaci,27,RO,1633829237,67,47.2667,25.3833,33.44,3.36
230,san juan,5,ML,1633829208,26,13.3034,-4.8956,83.43,1.14
231,mhlume,89,SZ,1633829238,63,-26.0333,31.85,68.86,13.62
232,ponta do sol,100,PT,1633829238,82,38.7333,-28.2667,65.79,23.51
233,campos sales,100,BR,1633829136,87,-21.75,-41.3,66.22,3.51
234,eseka,100,CM,1633829239,100,3.65,10.7667,72.63,2.62
235,iberia,1,US,1633829240,88,29.9502,-91.7507,78.12,3.44
236,lampa,75,CL,1633829225,67,-33.2833,-70.9,56.64,10.36
237,hackettstown,100,US,1633829241,84,40.854,-74.8291,64.06,1.01
238,victoria,100,HK,1633829229,86,22.2855,114.1577,83.25,1.01
239,katsuura,41,JP,1633829241,77,35.1333,140.3,74.19,6.58
240,kastamonu,33,TR,1633829242,90,41.5,33.6667,47.77,1.5
241,monrovia,89,LR,1633829031,87,6.3005,-10.7969,77.18,5.66
242,half moon bay,79,LR,1633829242,91,6.3807,-10.6953,76.14,4.45
243,kirillov,100,RU,1633829243,95,59.863,38.3813,45.46,4.85
244,san jeronimo,5,ML,1633829211,26,13.3034,-4.8956,83.43,1.14
245,kavieng,91,PG,1633829089,70,-2.5744,150.7967,83.8,8.05
246,pisco,0,PE,1633829243,88,-13.7,-76.2167,63.01,11.5
247,bubaque,27,GW,1633829079,76,11.2833,-15.8333,82.29,9.06
248,westport,90,US,1633829244,83,41.1415,-73.3579,64.54,11.01
249,dingle,100,PH,1633829244,97,10.9995,122.6711,74.75,7.58
250,salalah,20,OM,1633829245,78,17.0151,54.0924,78.89,4.61
251,havre-saint-pierre,75,CA,1633829245,93,50.2334,-63.5986,48.2,2.3
252,ust-kan,4,RU,1633829245,83,50.9276,84.761,23.23,4.12
253,faya,8,SA,1633829246,46,18.3851,42.4509,62.71,8.43
254,rudbar,0,AF,1633829246,34,30.15,62.6,54.66,13.2
255,galesong,96,ID,1633829246,63,-5.3166,119.3661,84.22,9.26
256,shakawe,5,BW,1633829247,14,-18.3667,21.85,71.4,5.12
257,asau,0,RO,1633829190,84,46.4333,26.4,37.76,4.32
258,maningrida,71,AU,1633829247,61,-12.0667,134.2667,87.15,9.73
259,prabumulih,14,ID,1633829247,79,-3.45,104.25,81.21,4.43
260,margate,41,GB,1633829248,99,51.3813,1.3862,52.95,5.08
261,pahrump,16,US,1633829079,18,36.2083,-115.9839,71.65,4.0
262,kargasok,100,RU,1633829248,92,59.0556,80.8572,33.67,7.87
263,tamandare,10,BR,1633829249,78,-8.7597,-35.1047,75.07,6.4
264,samarkand,2,UZ,1633829249,48,39.6542,66.9597,38.62,2.3
265,klaksvik,99,FO,1633829249,86,62.2266,-6.589,50.92,23.31
266,manicore,92,BR,1633829250,72,-5.8092,-61.3003,79.0,2.51
267,laguna,1,US,1633829250,34,38.421,-121.4238,74.23,1.99
